Title,Link,posturl,Date,Claim,Label,Image
"Image shows PTM’s Bannu rally in July, not October",https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-11-29 00:00:00,"Claim: Image shows Pashtun Tahafuz Movement’s (PTM) demonstration from October 2024 in Bannu, Khyber Pakhtunkhwa. Fact: The image is of PTM’s peace rally in Bannu from July 2024, and not from the demonstrations held in October.  On 21 October, an X user posted a picture (archive) apparently showing supporters of PTM who demonstrated in Bannu, Khyber Pakhtunkhwa. The caption reads: “An ocean of people! The brave people of Bannu. One and united for peace. #BannuRejectsMilitancy” The Pashtun Tahafuz Movement (PTM) is a grassroots civil rights group that has repeatedly called for peace and an end to the Pakistani military’s operations […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/PTM-cover-final.png
Picture showing road flooded with containers is fake,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-11-29 00:00:00,"Claim: A picture shows a sea of containers that were put in place ahead of the PTI’s November march, blocking a road in Islamabad.   Fact: The picture is doctored and does not accurately represent the security arrangements and blockades that were put in place ahead of the PTI’s march. A photo showing a sea of containers went viral on Facebook, Instagram, YouTube, and X (formerly Twitter) on 23 and 24 November 2024. The post from Facebook, which makes a reference to the former premier, is shown below:                         […]",False,https://www.sochfactcheck.com/wp-content/uploads/2024/11/aljazeera-img.jpg
PML-N has not decided to leave the government,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-11-29 00:00:00,"Claim: PML-N has announced that they are ready to leave the government since they did not receive public support for their big decisions. Fact: Screenshots of news bulletins aired in 2022 were used to imply that the statement is a recent development. The PML-N leadership has not made any statements about the possibility of leaving the government.  On 27 October 2024, Maleeha Hashmey shared a tweet (archived) with a screenshot of a news bulletin claiming attributing the following statement with PML-N leader Nawaz Sharif: بڑے فیصلوں پر حمایت نہیں ملی ، ن لیگ حکومت چھوڑنے پر تیار [Translation: Not getting […]",False,https://www.sochfactcheck.com/wp-content/uploads/2024/11/nawazou.png
Image of protester holding a gun is not from recent PTI rally in Islamabad,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-11-29 00:00:00,"Claim: Image shows Pakistan Tehreek-e-Insaf’s supporter holding a gun during the protests in Islamabad on 26 November. Fact: Image shows a protester holding a gun during clashes between security forces and PTI supporters in May 2023 in Peshawar. On 26 November, an X user posted a photo (archive) apparently showing a PTI supporter holding a gun amid the recent protests in Islamabad. The caption that reads “Peaceful protesters……?” speculates that a PTI supporter held a gun during the protests which were temporarily called off by the party in the early hours of 27 November. PTI’s Islamabad protests Thousands of Imran […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/PTI-gun-cover-final.png
Video does not show PTI protesters sleeping on the streets of Islamabad,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-11-29 00:00:00,"Claim: A video shows PTI supporters from the recent protests in Islamabad sleeping on the capital’s roads.   Fact: The first part of the video shows Jamaat-e-Islami (JI) members in Rawalpindi, and the second part shows Tehreek-e-Labbaik Pakistan (TLP) protesters in Faizabad.   The city of Islamabad was on lockdown since 24 November 2024 in response to the large-scale protests of PTI supporters. After a series of clashes with security forces on 26 November 2024, protesters  dispersed late at night, and the protest was temporarily suspended the next day, as seen here and here.   On 27 November 2024, social […]",False,https://www.sochfactcheck.com/wp-content/uploads/2024/11/dw.jpg
Video of Putin announcing the possibility of using nuclear weapons is from September 2024,https://www.sochfactcheck.com/category/conflict/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-11-29 00:00:00,"Claim: Video shows Russian President Vladimir Putin announcing the use of nuclear weapons in November 2024. Fact: The video is from September 2024, when Putin announced planned revisions to Russia’s nuclear doctrine in a televised meeting of Russia’s Security Council. The announcement was not made this month; however, Putin signed and approved a new nuclear doctrine by Russia on 19 November. On 19 November, a Threads user posted a video (archive) with the caption: “🚨BREAKING: Vladimir Putin just announced to use NUCLEAR weapons if a mass missile or UAV is launched toward Russia, or when these weapons cross into Russian […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/11/Putin-cover-final.png
Viral video does not show toddler killed in Parachinar,https://www.sochfactcheck.com/category/conflict/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-12-10 00:00:00,"Claim: A widely shared video shows a young victim of the recent violence in Parachinar in the Kurram District. Fact: While the violence in Kurram, which began on 21 November 2024, has claimed over 80 lives—including women and children—and injured more than 100, this specific video is not from Pakistan and predates the recent episode of sectarian violence in Parachinar.  On 22 November, X user @RiazToori shared a video (archive) of a toddler, writing, “The smallest coffin is indeed the heaviest. One of the infants who was brutally killed in the attack on the convoy of #Parachinar.” The video has […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Baby.jpg
Maulana did not urge his party workers to support PTI’s rally in October 2024,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-12-10 00:00:00,"Claim: Video shows Maulana Fazl ur Rehman, chief of Jamiat Ulema-i-Islam Fazl (JUI-F), urging his party members to reach Islamabad and support Pakistan Tehreek Insaf’s protestors in October 2024. Fact: The video of Rehman is from a press conference held in March 2022 and has no connection to either of PTI’s major rallies from October and November 2024. On 7 October, a Facebook user posted a video (archive) showing a video of Maulana Fazl ur Rehman, a National Assembly member and leader of Jamiat Ulema-i-Islam Fazl (JUI-F), apparently speaking in support of Pakistan Tehreek-i-Insaf’s rally in October. In the video […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Maulana-cover-final.png
UNRWA teacher was not among the bodyguards killed alongside Yahya Sinwar.,https://www.sochfactcheck.com/category/uncategorised/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-12-10 00:00:00,"Claim: The ID of a UNRWA teacher, Hani S. Zourob, was found on Yahya Sinwar at the time of his death and belonged to one of the two bodyguards killed along with the Hamas leader on 17 October. Fact: The ID card of Sinwar’s alleged bodyguard is actually an expired passport belonging to a UNRWA worker who evacuated to Egypt in April. The staff member in question is still alive, as confirmed by Commissioner General of UNRWA Philippe Lazzarini.   On 17 October 2024, a user on X (formerly Twitter) posted an image (archive) of a passport that belonged to a […]",True,https://www.sochfactcheck.com/wp-content/uploads/2024/12/UNRWA.jpg
"Visual of PTI protestor apparently praying on container is real, not AI-generated",https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-12-16 00:00:00,"Claim: A picture showing a protester who was allegedly pushed off a stack of containers while reportedly praying during the PTI’s November protests is AI-generated. Fact: The picture is real and was not generated using AI. The authentic image, as well as another photo taken shortly afterwards of the protester trying to hang on before he was allegedly pushed off the containers, also corroborates the incident. On 28 November 2024, multiple Facebook users claimed that the picture of a man who was apparently pushed off a stack of shipping containers while kneeling — allegedly offering prayers — during the Pakistan […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/PTI_praying_protester_AI_main.jpg
Majority of disabled children in UK born to Muslim parents?,https://www.sochfactcheck.com/category/culture/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-12-16 00:00:00,"Claim: 50% of Muslims and 70% of Pakistanis in the UK are inbred, and the majority of disabled children in the UK are born to Muslim parents.   Fact: There is no publicly available data on the proportion of Muslims and Pakistanis that are “inbred” or were a result of a consanguineous marriage. Data on consanguineous marriages in the UK does exist, but it only speaks for the British Pakistani communities in Birmingham and Bradford, not in all of the UK.    With reference to the rates of ”inbreeding”, Soch Fact Check reached out to the UK’s Office of National […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/UK-born.jpg
Did PTI supporters swim across a river to reach Islamabad on 24 November?,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-12-16 00:00:00,"Claim: A video shows PTI protesters swimming across a river to reach Islamabad amid road blockades.   Fact: The video was first shared online on 1 September 2023, disproving the claim that PTI protesters swam across a river to attend the 24 November 2024 protest at D-Chowk. On 25 November, the Instagram account Dialogue Pakistan, which describes itself as a citizen journalism portal promoting ethical reporting, shared a video of PTI protesters swimming across a river, some of whom carried party flags. The caption read: “ISLAMABAD: In an effort to reach Islamabad for a planned protest, workers of Pakistan Tehreek-e-Insaf (PTI) […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Pti-flag.jpg
Video showing Matiullah Jan’s expulsion from PMA debunked,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-12-16 00:00:00,"Claim: A video shows journalist Matiullah Jan in an army cadet’s uniform being stripped of his rank and discharged from the Pakistan Military Academy (PMA) due to poor character. Fact: The video does not show Matiullah Jan’s expulsion from the PMA. It is actually a digitally manipulated clip from Hum TV’s drama serial ‘Ehd-e-Wafa,’ with Jan’s face superimposed on the actor’s. On 28 November, X user @ImrankhanISP1 shared a video (archive) on X, writing, “مطیع اللہ جان اپنے گندے کاموں کا خمیازہ پہلے بھی بھگت چکا ہے  مطیع اللہ جان کو پی ایم اے سے گندے کردار کی وجہ سے […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Untitled-design-1.png
Did Donald Trump pledge support for Imran Khan against PDM?,https://www.sochfactcheck.com/category/pakistan/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-12-17 00:00:00,"Claim: A video circulating online shows US President Donald Trump speaking in Urdu, pledging to act against the Pakistan Democratic Movement. Fact: The video is doctored. Deepware and audio analyses revealed manipulated audio frequencies and deepfake characteristics. Following Trump’s victory in the 2024 US Presidential election, X user @Tabii_DxB shared a clip (archive) of Trump speaking in Urdu, with the caption: “ڈونلڈ ٹرمپ کا پیغام پھیلا دیں سب جگہ” [Translated from Urdu: Spread Donald Trump’s message everywhere] In the video, Donald Trump says, “Imran Khan meri jaan, apun election jeet gaya hai. Ab dekhna apun PDM walon ke saath karta […]",False,https://www.sochfactcheck.com/wp-content/uploads/2024/12/lailluminator.jpg
Image of man holding dead body of toddler is not linked to sectarian violence in Parachinar,https://www.sochfactcheck.com/category/conflict/,https://www.sochfactcheck.com/did-donald-trump-pledge-support-for-imran-khan-against-pdm/,2024-12-17 00:00:00,"Claim: An image shows a child who was killed in recent deadly incidents of sectarian violence in Kurram, Khyber Pakhtunkhwa. Fact: The picture has no connection to sectarian violence in Kurram which erupted in November 2024. The image is from November 2016 when the US and Afghan forces carried out an operation against the Taliban’s commanders in the Kunduz province of Afghanistan. On 24 November, an X user posted a photo (archive) allegedly showing an old man holding up a dead body of a toddler killed in the recent deadly sectarian violence in Kurram, Khyber Pakhtunkhwa.  The caption reads [translated […]",Misleading,https://www.sochfactcheck.com/wp-content/uploads/2024/12/Kurram-cover-photo.png
